solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
0,119.8,25.57,680.0,0,1,11,18,2756.22,95.91,322.43,11.71,2560.89,248;9;79;155;67;206;263;217;159;301;99;327;310;346;273;77;266;336,KARPUZ | ÇEÇİL PEYNİRİ | SÜT | EKMEK LD | PORTAKAL SUYU | FIRIN SÜTLAÇ | KIYMALI YEŞİL MERCİMEK | HAYDARİ | ELMA DİLİM PATATES KIZARTMASI | MISIRLI PİRİNÇ PİLAVI | ANDALOZ ÇORBASI | PİRİNÇ PİLAVI | PATATES ÇORBASI | SEBZELİ BULGUR PİLAVI | KREMALI ISPANAK ÇORBASI | SOSİS | KORNİŞON TURŞU | SALATALIK TURSUSU
1,119.1,35.32,444.0,0,2,12,16,2752.13,76.9,342.99,36.65,1438.93,41;86;113;248;67;29;79;138;145;283;282;301;159;327;48;266,KURU KAYISI | ÜZÜM PEKMEZİ | AYVA | KARPUZ | PORTAKAL SUYU | INCİR REÇELİ | SÜT | CEVİZLİ TEL KADAYIF | DANA KIZARTMA | MAKARNA SALATASI LD | MAHLUTA ÇORBASI | MISIRLI PİRİNÇ PİLAVI | ELMA DİLİM PATATES KIZARTMASI | PİRİNÇ PİLAVI | MEVSİM SALATASI | KORNİŞON TURŞU
2,114.8,24.79,640.0,0,3,12,17,2745.76,80.91,341.33,20.46,1719.59,41;86;67;248;9;79;206;263;217;159;301;99;327;310;273;48;334,KURU KAYISI | ÜZÜM PEKMEZİ | PORTAKAL SUYU | KARPUZ | ÇEÇİL PEYNİRİ | SÜT | FIRIN SÜTLAÇ | KIYMALI YEŞİL MERCİMEK | HAYDARİ | ELMA DİLİM PATATES KIZARTMASI | MISIRLI PİRİNÇ PİLAVI | ANDALOZ ÇORBASI | PİRİNÇ PİLAVI | PATATES ÇORBASI | KREMALI ISPANAK ÇORBASI | MEVSİM SALATASI | ROKA SALATASI LD
3,105.3,24.01,414.0,0,2,11,14,2455.58,70.21,314.69,37.13,1486.81,41;86;67;248;113;29;79;209;350;283;282;301;159;327,KURU KAYISI | ÜZÜM PEKMEZİ | PORTAKAL SUYU | KARPUZ | AYVA | INCİR REÇELİ | SÜT | HAMBURGER KÖFTE | SEBZELİ MAKARNA | MAKARNA SALATASI LD | MAHLUTA ÇORBASI | MISIRLI PİRİNÇ PİLAVI | ELMA DİLİM PATATES KIZARTMASI | PİRİNÇ PİLAVI
4,100.9,30.95,405.0,0,3,10,18,2194.51,80.28,327.59,32.81,1485.83,80;160;362;161;88;113;29;41;92;86;7;217;159;301;99;327;310;231,ŞEFTALİ REÇELİ | ELMA SUYU LD | ŞEFTALİ SUYU LD | ERİK | VİŞNE SUYU | AYVA | INCİR REÇELİ | KURU KAYISI | YEŞİL ZEYTIN | ÜZÜM PEKMEZİ | BÖĞÜRTLEN REÇELİ | HAYDARİ | ELMA DİLİM PATATES KIZARTMASI | MISIRLI PİRİNÇ PİLAVI | ANDALOZ ÇORBASI | PİRİNÇ PİLAVI | PATATES ÇORBASI | HİNDİ SOTE
5,90.5,24.35,332.0,0,3,9,12,2460.1,104.17,255.98,61.9,1508.69,41;86;67;248;113;29;79;377;15;289;255;198,KURU KAYISI | ÜZÜM PEKMEZİ | PORTAKAL SUYU | KARPUZ | AYVA | INCİR REÇELİ | SÜT | YAYLA ÇORBASI | DOMATES SALATALIK SÖĞÜŞ | MANTARLI ET SOTE | KIYMALI BEZELYE | FASULYE PİLAKİ
6,90.3,25.5,290.0,0,4,10,17,2295.9,64.47,343.86,49.45,1655.07,80;160;362;161;88;113;29;41;92;86;7;109;13;386;108;342;169,ŞEFTALİ REÇELİ | ELMA SUYU LD | ŞEFTALİ SUYU LD | ERİK | VİŞNE SUYU | AYVA | INCİR REÇELİ | KURU KAYISI | YEŞİL ZEYTIN | ÜZÜM PEKMEZİ | BÖĞÜRTLEN REÇELİ | ARPA ŞEHRİYELİ AYRAN ÇORBASI | ÇOBAN SALATASI | YOĞURTLU ISPANAK | ARPA ŞEHRİYE PİLAVI | SEBZE ÇORBASI | ETLİ TAZE FASULYE
7,90.0,35.92,280.0,0,4,8,14,2162.73,47.4,334.55,39.25,1508.13,361;29;86;161;88;113;286;75;61;301;99;221;327;310,ŞEFTALİ | INCİR REÇELİ | ÜZÜM PEKMEZİ | ERİK | VİŞNE SUYU | AYVA | MANDALİNA | SİMİT | PERMESAN PEYNİRİ | MISIRLI PİRİNÇ PİLAVI | ANDALOZ ÇORBASI | HAZIR PAKETLİ SÜTLÜ TATLI-PROFİTEROL | PİRİNÇ PİLAVI | PATATES ÇORBASI
8,89.9,30.08,310.0,0,4,8,13,2199.77,86.14,270.69,62.68,1477.14,113;29;41;92;361;286;86;264;262;232;212;393;134,AYVA | INCİR REÇELİ | KURU KAYISI | YEŞİL ZEYTIN | ŞEFTALİ | MANDALİNA | ÜZÜM PEKMEZİ | KİRAZ | KIYMALI TAZE FASULYE | HİNDİ TEPSİ KÖFTE | HAVUÇ SALATASI LD | YOĞURTLU PATLICAN KIZARTMASI | CEVİZLİ ERİŞTE
9,89.9,23.79,325.0,0,4,12,14,2293.55,75.63,343.52,39.12,1543.12,41;86;67;248;113;29;79;114;28;236;399;205;284;85,KURU KAYISI | ÜZÜM PEKMEZİ | PORTAKAL SUYU | KARPUZ | AYVA | INCİR REÇELİ | SÜT | AYVA TATLISI | HİNDİ SALAMI | İÇ PİLAV | ZEYTİNYAĞLI ISPANAK | FIRIN PİLİÇ BAGET | MAKARNA-KUSKUS | TAVADA YUMURTA
10,89.6,23.15,450.0,0,3,12,15,2145.6,68.68,306.24,23.81,1428.81,86;3;9;113;248;67;76;155;206;263;217;159;301;99;327,ÜZÜM PEKMEZİ | AYVA REÇELİ | ÇEÇİL PEYNİRİ | AYVA | KARPUZ | PORTAKAL SUYU | SİYAH ZEYTIN | EKMEK LD | FIRIN SÜTLAÇ | KIYMALI YEŞİL MERCİMEK | HAYDARİ | ELMA DİLİM PATATES KIZARTMASI | MISIRLI PİRİNÇ PİLAVI | ANDALOZ ÇORBASI | PİRİNÇ PİLAVI
11,88.1,21.0,385.0,0,4,12,14,2392.0,78.14,269.84,35.02,1460.09,41;86;67;248;113;29;79;241;253;350;10;395;212;277,KURU KAYISI | ÜZÜM PEKMEZİ | PORTAKAL SUYU | KARPUZ | AYVA | INCİR REÇELİ | SÜT | KABAK KALYE | KEMALPAŞA TATLISI | SEBZELİ MAKARNA | ÇILBIR | YOĞURTLU SEMİZOTU | HAVUÇ SALATASI LD | KURU KÖFTE
12,87.9,21.91,262.0,0,3,8,11,2052.02,102.02,211.7,42.25,1372.98,41;86;67;248;113;29;79;235;147;323;259,KURU KAYISI | ÜZÜM PEKMEZİ | PORTAKAL SUYU | KARPUZ | AYVA | INCİR REÇELİ | SÜT | IZGARA KÖFTE | DOMATES SALATALIK SÖĞÜŞ LD | PİLİÇ KAPAMA | KIYMALI KAPUSKA
13,87.6,19.23,515.0,0,4,10,14,2106.16,49.32,295.86,34.69,1403.25,41;86;113;248;9;79;332;176;217;159;301;99;327;310,KURU KAYISI | ÜZÜM PEKMEZİ | AYVA | KARPUZ | ÇEÇİL PEYNİRİ | SÜT | PORTAKALLI REVANİ | ETSİZ BULGURLU ISPANAK | HAYDARİ | ELMA DİLİM PATATES KIZARTMASI | MISIRLI PİRİNÇ PİLAVI | ANDALOZ ÇORBASI | PİRİNÇ PİLAVI | PATATES ÇORBASI
14,85.4,18.83,230.0,0,4,8,11,2492.49,81.79,255.85,45.61,1611.39,41;86;67;248;113;29;79;247;329;17;384,KURU KAYISI | ÜZÜM PEKMEZİ | PORTAKAL SUYU | KARPUZ | AYVA | INCİR REÇELİ | SÜT | KARNIYARIK | PİRİNÇLİ NOHUT ÇORBASI | ELMA DİLİM PATATES KIZARTMASI B | YOĞURTLU ETLİ MANTI
