solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
0,114.1,43.37,332.0,0,1,12,20,2727.33,108.81,343.81,33.72,1497.55,248;155;89;44;80;161;113;21;264;22;7;29;82;221;212;20;271;68;323;325,KARPUZ | EKMEK LD | YABAN MERSİNİ MARMELATI | LOR PEYNİRİ | ŞEFTALİ REÇELİ | ERİK | AYVA | FINDIK EZMESİ | KİRAZ | GREYFURT SUYU | BÖĞÜRTLEN REÇELİ | INCİR REÇELİ | TAHİN PEKMEZ | HAZIR PAKETLİ SÜTLÜ TATLI-PROFİTEROL | HAVUÇ SALATASI LD | EZOGELİN ÇORBASI | KREMALI DOMATES  ÇORBASI | POŞE YUMURTA | PİLİÇ KAPAMA | PİLİÇ PİRZOLA
1,109.6,28.98,380.0,0,4,8,17,1909.13,41.57,230.92,44.33,1546.96,248;161;36;158;113;160;12;7;6;29;86;21;342;273;99;259;301,KARPUZ | ERİK | KAYMAK | ELMA | AYVA | ELMA SUYU LD | ÇİLEK REÇELİ | BÖĞÜRTLEN REÇELİ | BEYAZ PEYNIR | INCİR REÇELİ | ÜZÜM PEKMEZİ | FINDIK EZMESİ | SEBZE ÇORBASI | KREMALI ISPANAK ÇORBASI | ANDALOZ ÇORBASI | KIYMALI KAPUSKA | MISIRLI PİRİNÇ PİLAVI
2,106.1,41.63,286.0,0,2,11,20,2451.29,78.76,334.7,38.6,1369.34,248;155;89;44;80;161;113;21;264;22;7;29;5;82;45;159;346;289;24;108,KARPUZ | EKMEK LD | YABAN MERSİNİ MARMELATI | LOR PEYNİRİ | ŞEFTALİ REÇELİ | ERİK | AYVA | FINDIK EZMESİ | KİRAZ | GREYFURT SUYU | BÖĞÜRTLEN REÇELİ | INCİR REÇELİ | BAL | TAHİN PEKMEZ | MAKARNA SALATASI | ELMA DİLİM PATATES KIZARTMASI | SEBZELİ BULGUR PİLAVI | MANTARLI ET SOTE | HAVUÇ SALATASI | ARPA ŞEHRİYE PİLAVI
3,101.7,49.04,267.0,0,3,11,20,2347.0,91.43,328.1,36.56,1422.26,80;161;113;21;264;22;7;213;18;367;29;82;12;92;86;329;220;228;372;405,ŞEFTALİ REÇELİ | ERİK | AYVA | FINDIK EZMESİ | KİRAZ | GREYFURT SUYU | BÖĞÜRTLEN REÇELİ | HAVUÇ SUYU LD | ELMA SUYU | TAM BUĞDAY EKMEK LD | INCİR REÇELİ | TAHİN PEKMEZ | ÇİLEK REÇELİ | YEŞİL ZEYTIN | ÜZÜM PEKMEZİ | PİRİNÇLİ NOHUT ÇORBASI | HAZIR PAKETLİ SÜTLÜ TATLI-KEŞKÜL | HİNDİ KÜLBASTI | TOYGA ÇORBASI | ZEYTİNYAĞLI TAZE FASULYE
4,99.8,45.88,174.0,0,2,13,21,2613.24,85.51,330.57,30.34,1491.28,80;161;113;21;264;22;7;213;18;367;29;82;12;92;86;223;211;150;324;23;77,ŞEFTALİ REÇELİ | ERİK | AYVA | FINDIK EZMESİ | KİRAZ | GREYFURT SUYU | BÖĞÜRTLEN REÇELİ | HAVUÇ SUYU LD | ELMA SUYU | TAM BUĞDAY EKMEK LD | INCİR REÇELİ | TAHİN PEKMEZ | ÇİLEK REÇELİ | YEŞİL ZEYTIN | ÜZÜM PEKMEZİ | HAZIR PAKETLİ SÜTLÜ TATLI-SUPANGLE | HAVUÇ ÇORBASI | DOMATESLİ BİBERLİ ERİŞTE | PİLİÇ KAVURMA | HAŞLANMIŞ YUMURTA | SOSİS
5,97.3,29.53,290.0,1,5,10,18,2055.89,55.03,243.63,64.2,1631.63,248;161;12;158;113;160;36;7;6;29;86;21;386;242;399;271;334;186,KARPUZ | ERİK | ÇİLEK REÇELİ | ELMA | AYVA | ELMA SUYU LD | KAYMAK | BÖĞÜRTLEN REÇELİ | BEYAZ PEYNIR | INCİR REÇELİ | ÜZÜM PEKMEZİ | FINDIK EZMESİ | YOĞURTLU ISPANAK | KABAK MÜCVER | ZEYTİNYAĞLI ISPANAK | KREMALI DOMATES  ÇORBASI | ROKA SALATASI LD | ETSİZ KURU FASULYE
6,95.1,41.8,182.0,0,4,11,19,1915.39,54.11,292.75,52.24,1620.39,80;161;113;21;264;22;7;213;18;367;29;82;12;92;86;243;329;77;357,ŞEFTALİ REÇELİ | ERİK | AYVA | FINDIK EZMESİ | KİRAZ | GREYFURT SUYU | BÖĞÜRTLEN REÇELİ | HAVUÇ SUYU LD | ELMA SUYU | TAM BUĞDAY EKMEK LD | INCİR REÇELİ | TAHİN PEKMEZ | ÇİLEK REÇELİ | YEŞİL ZEYTIN | ÜZÜM PEKMEZİ | KABAK TARATOR | PİRİNÇLİ NOHUT ÇORBASI | SOSİS | SUCUKLU KURU FASULYE
7,93.2,26.0,510.0,0,4,10,15,2366.55,96.32,342.44,33.25,1506.15,113;161;22;248;67;367;286;18;14;381;206;236;374;230;127,AYVA | ERİK | GREYFURT SUYU | KARPUZ | PORTAKAL SUYU | TAM BUĞDAY EKMEK LD | MANDALİNA | ELMA SUYU | DİL PEYNİRİ | YOĞURT | FIRIN SÜTLAÇ | İÇ PİLAV | TUTMAÇ ÇORBASI | HİNDİ ROSTO KÖFTE | BUĞDAY RİSOTTO
8,89.9,26.53,380.0,1,5,12,15,2125.7,62.84,278.26,34.25,1574.75,250;41;3;86;18;161;29;89;6;123;327;117;404;342;235,KAVUN | KURU KAYISI | AYVA REÇELİ | ÜZÜM PEKMEZİ | ELMA SUYU | ERİK | INCİR REÇELİ | YABAN MERSİNİ MARMELATI | BEYAZ PEYNIR | BARBUNYA PİLAKİ | PİRİNÇ PİLAVI | BAHARATLI ELMA DİLİM PATATES KIZARTMASI | ZEYTİNYAĞLI SEMİZOTU | SEBZE ÇORBASI | IZGARA KÖFTE
9,89.8,42.23,172.0,0,4,10,18,2119.94,103.76,295.6,31.52,1513.4,80;161;113;21;264;22;7;213;18;367;29;82;12;92;86;364;298;77,ŞEFTALİ REÇELİ | ERİK | AYVA | FINDIK EZMESİ | KİRAZ | GREYFURT SUYU | BÖĞÜRTLEN REÇELİ | HAVUÇ SUYU LD | ELMA SUYU | TAM BUĞDAY EKMEK LD | INCİR REÇELİ | TAHİN PEKMEZ | ÇİLEK REÇELİ | YEŞİL ZEYTIN | ÜZÜM PEKMEZİ | ŞEHRİYELİ HİNDİ GÜVEÇ | MEYHANE PİLAVI | SOSİS
10,89.6,45.77,256.0,1,5,12,20,2323.78,79.8,279.99,32.82,1631.93,80;161;113;21;264;22;7;213;18;367;29;82;12;92;86;274;298;85;45;289,ŞEFTALİ REÇELİ | ERİK | AYVA | FINDIK EZMESİ | KİRAZ | GREYFURT SUYU | BÖĞÜRTLEN REÇELİ | HAVUÇ SUYU LD | ELMA SUYU | TAM BUĞDAY EKMEK LD | INCİR REÇELİ | TAHİN PEKMEZ | ÇİLEK REÇELİ | YEŞİL ZEYTIN | ÜZÜM PEKMEZİ | KREMALI MANTAR ÇORBASI | MEYHANE PİLAVI | TAVADA YUMURTA | MAKARNA SALATASI | MANTARLI ET SOTE
11,89.3,24.99,300.0,0,1,10,13,2510.93,106.62,244.97,19.41,1499.65,41;86;18;161;29;6;87;79;404;117;235;267;56,KURU KAYISI | ÜZÜM PEKMEZİ | ELMA SUYU | ERİK | INCİR REÇELİ | BEYAZ PEYNIR | VİŞNE REÇELİ | SÜT | ZEYTİNYAĞLI SEMİZOTU | BAHARATLI ELMA DİLİM PATATES KIZARTMASI | IZGARA KÖFTE | KÖRİ SOSLU PİLİÇ  SOTE | PATATES SALATASI
12,88.6,28.81,245.0,0,4,9,16,2042.61,58.68,236.58,38.04,1451.61,248;161;36;160;12;7;158;113;6;29;86;21;263;395;99;191,KARPUZ | ERİK | KAYMAK | ELMA SUYU LD | ÇİLEK REÇELİ | BÖĞÜRTLEN REÇELİ | ELMA | AYVA | BEYAZ PEYNIR | INCİR REÇELİ | ÜZÜM PEKMEZİ | FINDIK EZMESİ | KIYMALI YEŞİL MERCİMEK | YOĞURTLU SEMİZOTU | ANDALOZ ÇORBASI | ETSİZ PATLICAN MUSAKKA
13,88.4,31.35,210.0,0,3,8,16,2642.16,99.61,200.67,35.11,1491.05,248;161;36;158;113;160;12;7;6;29;86;21;287;69;329;372,KARPUZ | ERİK | KAYMAK | ELMA | AYVA | ELMA SUYU LD | ÇİLEK REÇELİ | BÖĞÜRTLEN REÇELİ | BEYAZ PEYNIR | INCİR REÇELİ | ÜZÜM PEKMEZİ | FINDIK EZMESİ | MANTAR SOSLU PİLİÇ IZGARA | ROKA SALATASI | PİRİNÇLİ NOHUT ÇORBASI | TOYGA ÇORBASI
14,88.4,41.03,182.0,0,4,10,18,2070.37,102.09,277.68,36.74,1514.56,80;161;113;21;264;22;7;213;18;367;29;82;12;92;86;342;321;401,ŞEFTALİ REÇELİ | ERİK | AYVA | FINDIK EZMESİ | KİRAZ | GREYFURT SUYU | BÖĞÜRTLEN REÇELİ | HAVUÇ SUYU LD | ELMA SUYU | TAM BUĞDAY EKMEK LD | INCİR REÇELİ | TAHİN PEKMEZ | ÇİLEK REÇELİ | YEŞİL ZEYTIN | ÜZÜM PEKMEZİ | SEBZE ÇORBASI | PİLİÇ HAŞLAMA | ZEYTİNYAĞLI KARNABAHAR
15,87.7,38.19,217.0,0,4,10,17,2266.51,95.09,295.25,33.99,1444.12,248;155;89;44;80;161;113;21;264;22;7;29;82;134;311;228;28,KARPUZ | EKMEK LD | YABAN MERSİNİ MARMELATI | LOR PEYNİRİ | ŞEFTALİ REÇELİ | ERİK | AYVA | FINDIK EZMESİ | KİRAZ | GREYFURT SUYU | BÖĞÜRTLEN REÇELİ | INCİR REÇELİ | TAHİN PEKMEZ | CEVİZLİ ERİŞTE | PATATES OTURTMASI | HİNDİ KÜLBASTI | HİNDİ SALAMI
16,85.6,34.93,225.0,1,5,10,18,2041.63,48.82,239.01,54.23,1512.1,248;161;36;158;113;160;12;7;6;29;86;21;188;1;266;69;372;194,KARPUZ | ERİK | KAYMAK | ELMA | AYVA | ELMA SUYU LD | ÇİLEK REÇELİ | BÖĞÜRTLEN REÇELİ | BEYAZ PEYNIR | INCİR REÇELİ | ÜZÜM PEKMEZİ | FINDIK EZMESİ | ETSİZ NOHUT | AKDENİZ SALATASI | KORNİŞON TURŞU | ROKA SALATASI | TOYGA ÇORBASI | ETSİZ PİRİNÇLİ PIRASA
17,85.5,28.81,280.0,0,4,9,17,2032.06,39.07,233.88,44.47,2294.93,248;161;36;158;113;160;12;7;6;29;86;21;108;237;317;211;163,KARPUZ | ERİK | KAYMAK | ELMA | AYVA | ELMA SUYU LD | ÇİLEK REÇELİ | BÖĞÜRTLEN REÇELİ | BEYAZ PEYNIR | INCİR REÇELİ | ÜZÜM PEKMEZİ | FINDIK EZMESİ | ARPA ŞEHRİYE PİLAVI | İMAMBAYILDI | PEYNİRLİ AKDENİZ SALATASI LD | HAVUÇ ÇORBASI | ERZİNCAN ÇORBASI LD
18,84.2,22.73,292.0,0,3,10,15,2290.76,50.49,333.85,46.8,1478.95,94;29;139;113;86;35;161;88;22;386;242;246;130;150;45,YULAF GEVREĞİ | INCİR REÇELİ | ÇİLEK | AYVA | ÜZÜM PEKMEZİ | KAYISI SUYU | ERİK | VİŞNE SUYU | GREYFURT SUYU | YOĞURTLU ISPANAK | KABAK MÜCVER | KARNABAHAR SALATASI LD | BÜLBÜL YUVASI | DOMATESLİ BİBERLİ ERİŞTE | MAKARNA SALATASI
19,84.0,21.48,371.0,1,5,8,12,2154.39,71.67,240.22,24.43,1926.24,6;86;79;39;29;342;15;224;45;296;275;394,BEYAZ PEYNIR | ÜZÜM PEKMEZİ | SÜT | KREP | INCİR REÇELİ | SEBZE ÇORBASI | DOMATES SALATALIK SÖĞÜŞ | HAZIR PAKETLİ SÜTLÜ TATLI-SÜTLAÇ | MAKARNA SALATASI | MERCİMEK ÇORBASI LD | KREMALI MANTARLI FESLEĞENLİ MAKARNA | YOĞURTLU PAZI
20,83.8,32.58,195.0,0,4,8,15,2449.71,89.68,194.64,36.59,1672.23,248;161;36;158;113;160;12;7;6;29;86;21;292;8;258,KARPUZ | ERİK | KAYMAK | ELMA | AYVA | ELMA SUYU LD | ÇİLEK REÇELİ | BÖĞÜRTLEN REÇELİ | BEYAZ PEYNIR | INCİR REÇELİ | ÜZÜM PEKMEZİ | FINDIK EZMESİ | MANTARLI PİLİÇ KAVURMA | BROKOLİ SALATASI | KIYMALI KABAK DOLMASI
21,82.4,35.04,172.0,0,4,9,16,2655.21,88.96,259.09,42.61,1738.56,248;155;89;44;80;161;113;21;264;22;7;29;82;316;268;214,KARPUZ | EKMEK LD | YABAN MERSİNİ MARMELATI | LOR PEYNİRİ | ŞEFTALİ REÇELİ | ERİK | AYVA | FINDIK EZMESİ | KİRAZ | GREYFURT SUYU | BÖĞÜRTLEN REÇELİ | INCİR REÇELİ | TAHİN PEKMEZ | PATLICAN MUSAKKA | KÖRİ SOSLU PİLİÇ KAVURMA  | HAVUÇ TARATOR
